unix,open,high,low,close,Volume USD
1526364000,8733.86,8796.68,8707.28,8740.99,559.93
1526367600,8740.99,8766,8721.11,8739,273.58
1526371200,8739,8750.27,8660.53,8728.49,917.79
1526374800,8728.49,8754.4,8701.35,8708.32,182.62
1526378400,8708.32,8865,8695.11,8795.9,1260.69
1526382000,8795.9,8821.19,8740.54,8760,324.11
1526385600,8760,8798.6,8741.52,8760,324.2
1526389200,8760,8771.02,8700,8759.23,730.67
1526392800,8759.23,8761.7,8467.42,8517.77,1341.75
1526396400,8517.77,8553.67,8477.89,8520.3,792.07
1526400000,8520.3,8589.1,8500.78,8535.23,385.69
1526403600,8535.23,8579.48,8500,8546.34,475.08
1526407200,8546.34,8555.51,8400,8526.65,877.26
1526410800,8526.65,8583.6,8451.05,8555.6,670.49
1526414400,8555.6,8569.92,8461.38,8512.1,610.97
1526418000,8512.1,8555.54,8481.24,8492.28,168.99
1526421600,8492.28,8557.51,8420.37,8460,305.92
1526425200,8460,8505,8450,8474.99,136.05
1526428800,8474.99,8505.33,8430.94,8455.92,154.26
1526432400,8455.92,8478.29,8275.02,8326.28,1070.93
1526436000,8326.28,8339.81,8100.01,8133.43,1710.2
1526439600,8133.43,8217.44,8122.56,8164.79,492.8
1526443200,8164.79,8252.72,8157.01,8229.38,630.72
1526446800,8229.38,8248.63,8166.25,8220.4,620.93
1526450400,8220.4,8267.12,8176.91,8238.8,586.34
1526454000,8238.8,8255,8213.79,8232.99,304.52
1526457600,8232.99,8261.24,8200,8207.48,450.97
1526461200,8207.48,8263.93,8207.48,8243.45,182.36
1526464800,8243.45,8455.66,8237.1,8371.13,915.32
1526468400,8371.13,8439.44,8370,8373,319.29
1526472000,8373,8399.1,8356.4,8365.08,362.01
1526475600,8365.08,8381.73,8145.1,8179.99,1046.38
1526479200,8179.99,8229.91,8173.6,8225,357.91
1526482800,8225,8377.29,8211.8,8285.8,561.2
1526486400,8285.8,8329.1,8201,8273.4,322.53
1526490000,8273.4,8350,8250.9,8297.4,1073.71
1526493600,8297.4,8346.95,8266.46,8279.89,237.21
1526497200,8279.89,8377.29,8252.72,8252.72,251.2
1526500800,8252.72,8311.35,8232.14,8302.18,359.73
1526504400,8302.18,8319.96,8268.37,8295.85,117.23
1526508000,8295.85,8398.24,8277.25,8277.25,363.17
1526511600,8277.25,8372.58,8277.25,8346.59,214.18
1526515200,8346.59,8399.99,8314.78,8358.3,171.64
1526518800,8358.3,8386.53,8314.77,8375.1,258.58
1526522400,8375.1,8400,8350.07,8368.62,299.52
1526526000,8368.62,8500,8331.39,8366.72,718.98
1526529600,8366.72,8381,8314.77,8314.77,119.7
1526533200,8314.77,8371.3,8275.45,8363.7,405.25
1526536800,8363.7,8382.41,8335.49,8344.16,210.77
1526540400,8344.16,8351,8191.14,8247.4,714.82
1526544000,8247.4,8292.99,8227.7,8277.4,215.97
1526547600,8277.4,8325.8,8264.13,8291.67,164.2
1526551200,8291.67,8318.99,8249.93,8307.89,201.55
1526554800,8307.89,8324.9,8269.52,8298.9,203.41
1526558400,8298.9,8335.56,8219.44,8269.47,886.82
1526562000,8269.47,8309.4,8262.68,8300.98,95.49
1526565600,8300.98,8377.29,8286.65,8318.49,499.67
1526569200,8318.49,8330.41,8289.87,8306.39,172.77
1526572800,8306.39,8328.23,8232.14,8276.43,355.39
1526576400,8276.43,8284.36,8232.14,8257.69,255.27
1526580000,8257.69,8274.83,8110.02,8166,591.06
1526583600,8166,8200,8154.95,8176.33,133.1
1526587200,8176.33,8232.14,8168.6,8200.7,149.13
1526590800,8200.7,8213.97,8151,8155.41,87.55
1526594400,8155.41,8155.41,7980,8080,1061.54
1526598000,8080,8108.28,8005.95,8067.03,286.94
1526601600,8067.03,8068.92,7929.53,7958.08,524.42
1526605200,7958.08,8019.9,7931.03,7974.25,316
1526608800,7974.25,8026.66,7950,7998.5,441.43
1526612400,7998.5,8025,7980.58,7991.99,189.7
1526616000,7991.99,8104.69,7991.99,8022.7,844.94
1526619600,8022.7,8061.39,7992.75,8042.97,155.34
1526623200,8042.97,8045.99,7953.4,7965.67,257.56
1526626800,7965.67,8170.71,7965.67,8088.95,610.69
1526630400,8088.95,8144.16,8085.94,8122.19,217.97
1526634000,8122.19,8139.99,8078.48,8107.99,173.18
1526637600,8107.99,8152.99,8092.9,8137.73,218.06
1526641200,8137.73,8137.73,8049.22,8115,372.97
1526644800,8115,8143.72,8079.46,8107,484.39
1526648400,8107,8129.99,8062.12,8094.4,248.1
1526652000,8094.4,8106.76,8043.96,8080.01,162.35
1526655600,8080.01,8139,8063.1,8117.09,303.42
1526659200,8117.09,8152.04,8088.46,8126.99,290.69
1526662800,8126.99,8146.99,8094.43,8110.95,160.93
1526666400,8110.95,8232.14,8088.46,8215.39,369.4
1526670000,8215.39,8275.1,8191.14,8231.42,487.27
1526673600,8231.42,8256.12,8212,8240.13,93.35
1526677200,8240.13,8274.1,8224.5,8235,96.68
1526680800,8235,8255.8,8211,8219.9,72.14
1526684400,8219.9,8253.97,8211.01,8248.87,90.22
1526688000,8248.87,8261.09,8210.03,8213.5,168.52
1526691600,8213.5,8235.76,8158.27,8200.99,203.15
1526695200,8200.99,8227,8177.65,8200,71.42
1526698800,8200,8273.36,8179.41,8237.3,464.56
1526702400,8237.3,8264.21,8221.92,8228.13,57
1526706000,8228.13,8250,8217.32,8240.83,89.42
1526709600,8240.83,8250.86,8213.52,8214.9,49.47
1526713200,8214.9,8235.77,8141.08,8170.07,200.05
1526716800,8170.07,8232.12,8146.1,8229.87,254.37
1526720400,8229.87,8232.14,8186.03,8205.87,65.05
1526724000,8205.87,8252.72,8197.09,8252.56,118.19
1526727600,8252.56,8370,8231.21,8365,452.4
1526731200,8365,8395,8323.82,8348.65,181.03
1526734800,8348.65,8374.48,8296,8303.99,288.04
1526738400,8303.99,8331,8296.31,8310.48,145.78
1526742000,8310.48,8319.43,8282.65,8310,110.14
1526745600,8310,8323.4,8280,8289.87,55.48
1526749200,8289.87,8314.55,8273.36,8304.99,80.87
1526752800,8304.99,8330.62,8290.08,8301.35,67.01
1526756400,8301.35,8314.8,8277.93,8313.12,59.16
1526760000,8313.12,8323.99,8240.07,8240.07,121.26
1526763600,8240.07,8263.03,8191.14,8199.99,244.37
1526767200,8199.99,8247.78,8178,8226.98,156.87
1526770800,8226.98,8253.75,8193.7,8231.2,80.48
1526774400,8231.2,8237.89,8180,8198.89,139.32
1526778000,8198.89,8235,8170.71,8215.85,93.52
1526781600,8215.85,8279.99,8215.53,8279.99,200.23
1526785200,8279.99,8290,8240.02,8255.08,97.4
1526788800,8255.08,8278.71,8237.17,8270.4,68.08
1526792400,8270.4,8275.34,8237.17,8244.24,47
1526796000,8244.24,8279.31,8239.12,8239.12,36.65
1526799600,8239.12,8279.98,8227.79,8267.14,28.75
1526803200,8267.14,8294.04,8247.57,8282.27,182.85
1526806800,8282.27,8356.4,8274.24,8350.62,400.18
1526810400,8350.62,8374.94,8326.1,8336.6,288.1
1526814000,8336.6,8354.83,8320.61,8336.91,182.94
1526817600,8336.91,8360.45,8281.31,8311.21,777.81
1526821200,8311.21,8337.14,8269.85,8312.09,493.59
1526824800,8312.09,8351.97,8311.16,8345.19,118.63
1526828400,8345.19,8377.29,8336.11,8377.2,174.37
1526832000,8377.2,8549,8369.86,8481.11,901.75
